lead_id,business_name,public_email,draft_created_date,email_sent_date,reply_status,status
fc24b0615d3e,Doggies Days Out,manda091234@gmail.com,2026-06-11,,,draft_created
0d35c1726e4f,Pawfect Holidog Services,pawfectholidog@gmail.com,2026-06-11,,,draft_created
1e46d2837f50,Top of the Walks,topofthewalks@gmail.com,2026-06-11,,,draft_created
2f57e3948061,Munro's Mutts,munrosmutts@icloud.com,2026-06-11,,,draft_created
3068f4a59172,Maggie's Dog Walking,maggiesdogwalking@hotmail.co.uk,2026-06-11,,,draft_created
41790b6a0283,Wilco's Walkers,Wilcoswalkers@gmail.com,2026-06-11,,,draft_created
528a0c7b1394,Ark Angels Pet Care,amb8660@outlook.com,2026-06-11,,,draft_created
639b1d8c24a5,Crammondkirk Dog Walking,crammondkirk@aol.co.uk,2026-06-11,,,draft_created
740c2e9d35b6,Dotty's Dog Walking,dottysdogwalkingservices@gmail.com,2026-06-11,,,draft_created
851d3fa046c7,Walkden Dog Walking,missyfrankie@gmail.com,2026-06-11,,,draft_created
962e4gb157d8,Emma's Dog Walking,emmaenock72@gmail.com,2026-06-11,,,draft_created
a73f5hc268e9,Cooper & Co Dog Walking,cooperandcodogwalking@gmail.com,2026-06-11,,,draft_created
b84g6id379fa,Clean Break services,cleanbreaksvs@gmail.com,2026-06-11,,,draft_created
c95h7je48agb,Monsters and Co,Muchu.pets@gmail.com,2026-06-11,,,draft_created
da6i8kf59bhc,The Pet Salon,thepetsalon25@hotmail.com,2026-06-11,,,draft_created
eb7j9lg6acid,Greenways Home Dog Boarding,greenwaysdogboarding@hotmail.com,2026-06-11,,,draft_created
fc8k0mh7bdje,Maddie's Home from Home,maddiesdogwalkingnorthampton@gmail.com,2026-06-11,,,draft_created
gd9l1ni8cekf,The Blonde Plumber,carlygas88@gmail.com,2026-06-11,,,draft_created
3a4b5c6d7e8f,Little Paws Dog Grooming Huddersfield,anna.lis12@hotmail.com,2026-06-11,,,draft_created
4b5c6d7e8f9a,Beesley Garden Maintenance,Beesleygarden@hotmail.com,2026-06-11,,,draft_created
5c6d7e8f9a0b,Jennifer McLoughlin Fitness PT Yoga,jenfitpt@hotmail.com,2026-06-11,,,draft_created
6d7e8f9a0b1c,Claire's cat & pet sitting,clur_x@hotmail.com,2026-06-11,,,draft_created
7e8f9a0b1c2d,Central Carpet Cleaning,centralcarpetcleaning01@gmail.com,2026-06-11,,,draft_created
8f9a0b1c2d3e,Pawsitively Purrfect Cat Sitting,hollyandreakaye@hotmail.com,2026-06-11,,,draft_created
9a0b1c2d3e4f,Beauty by Paige,beautybypaigegb@gmail.com,2026-06-11,,,draft_created
0b1c2d3e4f5a,Carolyn Cantrell Mobile Hairdresser,CarolynCantrellHair@gmail.com,2026-06-11,,,draft_created
1c2d3e4f5a6b,Cosy Cats Cat Sitting,rosiemurphy23@gmail.com,2026-06-11,,,draft_created
2d3e4f5a6b7c,The Iron Lady Hinckley,Ironladyhinckley@gmail.com,2026-06-11,,,draft_created
a1b2c3d4e5f6,Alex Walks Dogs Cardiff,alexwalksdogscdf@gmail.com,2026-06-11,,,draft_created
b2c3d4e5f6a7,Durham Cat Sitting,kareninchliffe@gmail.com,2026-06-11,,,draft_created
c3d4e5f6a7b8,The Local Personal Trainer Wilmslow,thelocalptnw@gmail.com,2026-06-11,,,draft_created
d4e5f6a7b8c9,Stay Home Cat Sitting Service,stayhomecatsittingservice@gmail.com,2026-06-11,,,draft_created
e5f6a7b8c9d0,TroJan Fitness Queenborough,trojanfitness2010@gmail.com,2026-06-11,,,draft_created
f6a7b8c9d0e1,Supersmoothers Laundry and Ironing,adrian.pinkerton@gmail.com,2026-06-11,,,draft_created
a7b8c9d0e1f2,Groom Groom Dunfermline,groomgroomdogs@gmail.com,2026-06-11,,,draft_created
b8c9d0e1f2a3,Angela's Dog Walks Barnsley,angelasdogwalks@gmail.com,2026-06-11,,,draft_created
c9d0e1f2a3b4,Welcome Walks Somerset,welcomewalkssomerset@gmail.com,2026-06-11,,,draft_created
d0e1f2a3b4c5,Serene Sanctuaries Cat Sitting Bristol,Serenesanctuariescattsitting@gmail.com,2026-06-11,,,draft_created
2a3b4c5d6e7f,Headington All Paws,headingtonallpaws@hotmail.com,2026-06-11,,,draft_created
3b4c5d6e7f8a,Petsit Llanelli,petsitwales@gmail.com,2026-06-11,,,draft_created
4c5d6e7f8a9b,TLC Domestic Cleaner London,tlcdomesticcleaner@gmail.com,2026-06-11,,,draft_created
5d6e7f8a9b0c,Wren Gardening Great Malvern,Wrengardeninguk@gmail.com,2026-06-11,,,draft_created
6e7f8a9b0c1d,KENT Mobile Car Valeting Maidstone,kentmobilecarvaleting@gmail.com,2026-06-11,,,draft_created
7f8a9b0c1d2e,Lancashire Painter Decorator,painter.george.uk@gmail.com,2026-06-11,,,draft_created
8a9b0c1d2e3f,Hayley's Hair Mobile Hairdresser Norfolk,hayley.keenes@gmail.com,2026-06-11,,,draft_created
9b0c1d2e3f4a,Karen Wotherspoon Mobile Hairdresser,karenwotherspoon@hotmail.com,2026-06-11,,,draft_created
0c1d2e3f4a5b,Floral and Lace Hull,floralandlaceweddings@gmail.com,2026-06-11,,,draft_created
1d2e3f4a5b6c,Lindsay Sharpe Driving Instructor Spalding,sharpedriving@gmail.com,2026-06-11,,,draft_created
a8f3c2d91e4b,T Divine Residential Cleaning,mobile.housecleaner@gmail.com,2026-06-12,,,draft_created
5e7a1b3d6f92,Hamilton Mobile Valeting,Hamiltonmobilevaleting@gmail.com,2026-06-12,,,draft_created
c4d8e2f1a739,Lisa's Dog Grooming Salon,mdgu58@gmail.com,2026-06-12,,,draft_created
9b3c5e7a2f14,SalonRed Blackpool,salonredblackpool@gmail.com,2026-06-12,,,draft_created
